pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0030246	1.94643413266895e-05	0.00391461860938512	0.677675721632554	2.72146617221186	0	334
GO:0020037	1.99080249248472e-05	0.00391461860938512	0.557177327848183	2.14281760352091	0	227
GO:0005506	1.96854268784819e-05	0.00391461860938512	0.592367881853221	2.33703616359745	0	284
GO:0004866	1.96687777821486e-05	0.00391461860938512	0.717431802979399	2.83428114021632	0	287
GO:0051920	1.88757597493299e-05	0.00391461860938512	-0.816505607182197	-2.12681695872621	0	19
GO:0019825	2.12264651567574e-05	0.00391461860938512	0.898729829738004	2.24987508246886	0	17
GO:0008233	2.10066380976389e-05	0.00391461860938512	0.709387201731034	2.33978167740225	0	76
GO:0004867	2.09362699941378e-05	0.00391461860938512	0.70326074058425	2.33595720462505	0	79
GO:0005319	2.13524651421007e-05	0.00391461860938512	0.947905024684772	2.60361016118625	0	27
GO:0045735	2.09043209231348e-05	0.00391461860938512	0.998024720917008	2.21434143355423	0	10
GO:0004004	1.94988788144682e-05	0.00391461860938512	-0.606589228895914	-2.23798445546719	0	118
GO:0051033	1.94420141926704e-05	0.00391461860938512	-0.96172301307822	-1.87009655891863	0	6
GO:0003723	4.27972267397073e-05	0.00588461867670975	-0.334301759954506	-1.46617035167345	1	601
GO:0003707	4.09332787556283e-05	0.00588461867670975	0.569973535941791	2.04491384848078	1	133
GO:0004497	4.16918554960289e-05	0.00588461867670975	0.666053259167741	2.25027680619935	1	88
GO:0003867	3.85601634950932e-05	0.00588461867670975	-0.931614808311968	-1.95191730445309	1	8
GO:0070330	6.36753406630725e-05	0.00824033820345645	0.788010205120758	2.30683147358046	2	38
GO:0003720	7.79119594857811e-05	0.00830806297511735	-0.963828259047923	-1.78740229996691	3	5
GO:0005102	8.20092260379293e-05	0.00830806297511735	0.573771355956532	2.03183901322797	3	121
GO:0016705	8.30806297511735e-05	0.00830806297511735	0.608619117049357	2.07677577436739	3	94
GO:0035252	7.79119594857811e-05	0.00830806297511735	-0.967168156380938	-1.79359607994653	3	5
GO:0003987	7.66797661267133e-05	0.00830806297511735	-0.891563509984906	-1.97790946826992	3	10
GO:0043533	0.000137795275590551	0.0131804176651832	-0.969634395730461	-1.69046067190697	6	4
GO:0008184	0.000170419041487569	0.0156217454696938	-0.798582332570584	-1.96663348363572	8	15
GO:0016712	0.000191909930272725	0.0162775108430419	0.792481360073997	2.19261546186651	8	28
GO:0005537	0.000192370582690495	0.0162775108430419	-0.874195253587979	-1.88921089990925	9	9
GO:0017113	0.000216535433070866	0.0176436278798484	-0.966960945683076	-1.68579977891131	10	4
GO:0042056	0.000233304170312044	0.0183310419530892	-0.927994972217511	-1.80451146602292	11	6
GO:0047298	0.000292169848071679	0.0214257888585898	-0.949792506284665	-1.76137324703626	14	5
GO:0032145	0.000292169848071679	0.0214257888585898	-0.949792506284665	-1.76137324703626	14	5
GO:0034513	0.000447166326431418	0.0315826792098588	-0.916662369009181	-1.7824749108243	22	6
GO:0097108	0.000459384424870673	0.0315826792098588	-0.994693108023183	-1.46903973165525	22	2
GO:0004392	0.000483493530856557	0.0322329020571038	-0.89353354517945	-1.80769261649856	24	7
GO:0015020	0.000531790432026547	0.0344099691311295	0.72627462132715	2.10628540102953	24	36
GO:0000166	0.000583733298741731	0.0366918073494802	-0.304681676390824	-1.35177388236801	26	704
GO:0004613	0.000771203269901864	0.0458553295617325	-0.867406930498888	-1.81738909959056	39	8
GO:0004345	0.00076948233076198	0.0458553295617325	-0.847562691492956	-1.83165564964231	39	9
GO:0005525	0.000872067672451382	0.05048812840508	-0.295769392758579	-1.32145855484578	39	778
GO:0017174	0.000993350632500811	0.0546342847875446	0.984528060970014	1.60418052212622	48	3
GO:0051059	0.000992574777147875	0.0546342847875446	-0.807935393914906	-1.83726145509426	51	11
GO:0008379	0.00116141732283465	0.0623199539082005	-0.950680831961694	-1.65741702753476	58	4
GO:0009982	0.00122551330153283	0.0641935538898151	-0.699757255467581	-1.84596802725289	64	20
GO:0070034	0.00127248539533808	0.0651039039475295	-0.854923211138397	-1.79123323814839	65	8
GO:0043130	0.0013248793413457	0.0662439670672849	-0.581148659220645	-1.78897270384495	69	41
GO:0003977	0.00149606299212598	0.0731408573928259	-0.945872612100354	-1.64903437669928	75	4
GO:0009931	0.00166321774614656	0.0795451965548353	-0.869974661319607	-1.76003103665509	85	7
GO:0004331	0.00178280456244608	0.0834504263272635	-0.809455807831289	-1.79575575775044	92	10
GO:0070679	0.00192832099727308	0.0865776774285873	-0.915864056504294	-1.69845354261542	98	5
GO:0004587	0.00190561141745054	0.0865776774285873	0.979021606847156	1.59520835891417	93	3
GO:0003724	0.00204502849785083	0.0899812539054364	-0.734425399444837	-1.80863703449524	107	15
GO:0003743	0.00218633051014379	0.0924985985060832	-0.400239945728763	-1.53624503909151	110	158
GO:0016757	0.00216224418185612	0.0924985985060832	-0.556424539472063	-1.73675263906411	113	44
GO:0050660	0.00225289804612297	0.0935165226692552	0.498601531699976	1.76951399173714	109	123
GO:0004614	0.00233873286686476	0.0952817093907864	-0.800154344383145	-1.77512071334046	121	10
GO:0015278	0.00239579275418777	0.0958317101675107	-0.911743625922569	-1.69081227766028	122	5
GO:0017127	0.0026011129352067	0.100770230641682	0.749988049521567	2.03143889087451	121	25
GO:0045294	0.00261086506662541	0.100770230641682	-0.859584806040627	-1.73901149600592	134	7
GO:0003725	0.00289455019456745	0.109793283242213	-0.465632456978796	-1.62738738445466	150	82
GO:0032403	0.0029891356416103	0.111459295110893	-0.466280811364414	-1.62325399669578	155	80
GO:0048406	0.00307293517570082	0.112674289775697	0.877907734483856	1.94783498901625	146	10
GO:0015232	0.00320839467029027	0.113855727711455	-0.666450499353576	-1.77847715914183	169	21
GO:0005540	0.00320866141732283	0.113855727711455	-0.929676381181386	-1.62079786660621	162	4
GO:0004430	0.00329405564130558	0.114808590694823	-0.629551254743352	-1.76183509513288	174	26
GO:0000977	0.00333988627475849	0.114808590694823	0.597877423458623	1.88552551364792	157	58
GO:0005452	0.00352867522907932	0.119432084676531	-0.743348717511434	-1.76616203913023	185	13
GO:0015106	0.00424474583290196	0.119723600415183	0.902194606848155	1.83037546768329	204	7
GO:0048273	0.00417444164438374	0.119723600415183	-0.802762945664451	-1.73483955760222	216	9
GO:0003823	0.00406788279412699	0.119723600415183	0.60833198669655	1.88771829733563	191	53
GO:0046870	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0015086	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0015087	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0015639	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0022890	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0015094	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0005384	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0015099	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0046915	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0015100	0.00422307297627975	0.119723600415183	-0.954910919138918	-1.54939545916573	213	3
GO:0050662	0.00439023459123098	0.122124573028499	-0.766045036348289	-1.74200193326006	229	11
GO:0001872	0.00480433448326949	0.122124573028499	0.640901939142186	1.91167503400448	226	42
GO:0017091	0.0048023293187877	0.122124573028499	-0.688932434746197	-1.74811219627862	253	17
GO:0015093	0.00468503937007874	0.122124573028499	-0.921717568047829	-1.60692247124423	237	4
GO:0004586	0.00479357660734616	0.122124573028499	-0.981924646124073	-1.450182279351	239	2
GO:0052895	0.00482947175158155	0.122124573028499	-0.99778549197989	-1.3311799186494	241	1
GO:0052894	0.00482947175158155	0.122124573028499	-0.99778549197989	-1.3311799186494	241	1
GO:0046592	0.00482947175158155	0.122124573028499	-0.99778549197989	-1.3311799186494	241	1
GO:0052901	0.00482947175158155	0.122124573028499	-0.99778549197989	-1.3311799186494	241	1
GO:0008432	0.00514778182659495	0.127602475868935	-0.817339081001031	-1.71248705106183	266	8
GO:0004588	0.00522010128554733	0.127602475868935	-0.890273474273395	-1.65099626471595	267	5
GO:0004590	0.00522010128554733	0.127602475868935	-0.890273474273395	-1.65099626471595	267	5
GO:0001716	0.0052895728774027	0.127879783849296	0.869560529744342	1.88002129697571	253	9
GO:0046935	0.00561547194291275	0.134283024721827	0.964675925282185	1.57183364380399	276	3
GO:0038132	0.00577542328866729	0.136622916506108	0.87874237967743	1.8438073384501	277	8
GO:0015116	0.00585342059265884	0.136642272690449	0.940558512314378	1.65363003038975	287	4
GO:0071567	0.00590046177526937	0.136642272690449	-0.948955569299523	-1.53973257667694	298	3
GO:0004512	0.00605295332010503	0.13871351358574	0.996748064799298	1.32895462561965	301	1
GO:0030515	0.0061368228252044	0.139185672324224	-0.691919030421729	-1.7311384586551	324	16
GO:0051538	0.00622746640445756	0.139800266222517	-0.811674363952281	-1.70061834831727	322	8
GO:0031625	0.00663712495363773	0.145929471234396	-0.405187585942788	-1.50017271111854	339	121
GO:0001848	0.00657797330738806	0.145929471234396	0.622851544119769	1.87223330291032	310	44
GO:0000822	0.00676582093904929	0.145929471234396	-0.854464003620884	-1.66152849745864	347	6
GO:0016884	0.00673228346456693	0.145929471234396	-0.911798603526676	-1.5896297478189	341	4
GO:0043184	0.00686963944555099	0.14618872249647	0.936362898062119	1.64625356881651	337	4
GO:0015467	0.00691073960892404	0.14618872249647	-0.977555438067972	-1.44372949489063	345	2
GO:0016404	0.00715038819131602	0.148404283215993	-0.767836592062182	-1.70342465625316	372	10
GO:0015662	0.00715038819131602	0.148404283215993	-0.767836592062182	-1.70342465625316	372	10
GO:0030159	0.00753378702194958	0.148544313451833	-0.765551044947818	-1.69835423196251	392	10
GO:0030331	0.0076147394213552	0.148544313451833	-0.570276241413097	-1.667937784776	403	32
GO:0004827	0.00732283464566929	0.148544313451833	-0.909382622972754	-1.58541772715577	371	4
GO:0001223	0.00756968920217879	0.148544313451833	0.980757528903608	1.45951023941799	377	2
