pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0009636	1.62691569322878e-05	0.00272013924498005	0.797149794980023	2.12433219987499	0	47
GO:0016032	1.47247213346487e-05	0.00272013924498005	0.670258335320079	2.02186838015763	0	107
GO:0006695	1.76778390609532e-05	0.00272013924498005	0.879432451654161	2.02324489777136	0	21
GO:0015031	1.30558529388725e-05	0.00272013924498005	0.558927046871017	1.846905638393	0	243
GO:0007568	1.5549923027881e-05	0.00272013924498005	0.764701698659111	2.16880134682991	0	69
GO:0045471	1.66430889573105e-05	0.00272013924498005	0.820943855971165	2.11067116575398	0	38
GO:0006953	1.78323050037448e-05	0.00272013924498005	0.904352039164005	2.04203571792099	0	19
GO:0009450	1.91391222798522e-05	0.00272013924498005	0.975799898599939	1.80695839048954	0	7
GO:0042135	1.91391222798522e-05	0.00272013924498005	0.987530084567725	1.82868001393601	0	7
GO:0008285	1.43328077970474e-05	0.00272013924498005	0.651179339874365	2.00894035247631	0	128
GO:0045071	1.83063010288141e-05	0.00272013924498005	0.95423902644143	2.02840447704228	0	14
GO:0009615	1.71765231281884e-05	0.00272013924498005	0.933111434751108	2.26823502607929	0	28
GO:0006957	1.69480035251847e-05	0.00272013924498005	0.887271963320412	2.20977058689763	0	32
GO:0006958	1.67481744489851e-05	0.00272013924498005	0.853500999456365	2.1726809518982	0	36
GO:0001666	1.47727944217928e-05	0.00272013924498005	0.676838556028114	2.0324631006168	0	103
GO:0006614	1.8205651034081e-05	0.00272013924498005	0.913024643817365	1.96686531511038	0	15
GO:0055072	1.72259353682905e-05	0.00272013924498005	0.895188915561913	2.16217794584178	0	27
GO:0007626	1.65508109897385e-05	0.00272013924498005	0.824820576626915	2.13956570222627	0	40
GO:0070527	1.80665209300645e-05	0.00272013924498005	0.896749852291018	1.95775137017887	0	16
GO:0006811	1.66055030637153e-05	0.00272013924498005	0.815226616207095	2.10486306330823	0	39
GO:0034097	1.83063010288141e-05	0.00272013924498005	0.914858429126257	1.94469402537423	0	14
GO:0019752	1.75780906677917e-05	0.00272013924498005	0.947633156777543	2.20087994404127	0	22
GO:0032024	1.77594657952689e-05	0.00272013924498005	0.869438494221476	1.98201568379581	0	20
GO:0019835	1.8205651034081e-05	0.00272013924498005	0.923973610600936	1.99045191066256	0	15
GO:0048148	1.90049032650424e-05	0.00272013924498005	0.990343049904713	1.88158704816943	0	8
GO:0045776	1.88593844296922e-05	0.00272013924498005	0.985330410926162	1.91863286010569	0	9
GO:0021549	1.85963476773162e-05	0.00272013924498005	0.959255126380119	1.97491129281111	0	12
GO:0007620	1.94076776772891e-05	0.00272013924498005	0.998947095356538	1.73053712493378	0	5
GO:0035640	1.94076776772891e-05	0.00272013924498005	0.998947095356538	1.73053712493378	0	5
GO:0009449	1.94076776772891e-05	0.00272013924498005	0.998947095356538	1.73053712493378	0	5
GO:0033602	1.94076776772891e-05	0.00272013924498005	0.998947095356538	1.73053712493378	0	5
GO:0014053	1.94076776772891e-05	0.00272013924498005	0.998947095356538	1.73053712493378	0	5
GO:0090331	1.91391222798522e-05	0.00272013924498005	0.976094945373367	1.80750474968018	0	7
GO:0045964	1.94076776772891e-05	0.00272013924498005	0.998947095356538	1.73053712493378	0	5
GO:0031652	1.91391222798522e-05	0.00272013924498005	0.997891336228106	1.84786668391882	0	7
